title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Hazard Mitigation Assistance: Building Resilient Infrastructure and Communities,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing the Building Resilient Infrastructure and Communities Policy. This policy describes a new hazard mitigation grant program to assist States, territories, Tribes, and local governments with mitigating the impacts of natural hazards, including those created, aggravated, or amplified by climate change. The new program is funded by a FEMA 6 percent set aside of estimated disaster expenses for each major disaster, supersedes the Pre-Disaster Mitigation grant program, and promotes a national culture of preparedness through encouraging investments to protect communities and infrastructure by increasing pre-disaster hazard mitigation and strengthening national resilience.",87 FR 10805, 2022-04041,https://www.federalregister.gov/documents/2022/02/25/2022-04041/hazard-mitigation-assistance-building-resilient-infrastructure-and-communities,https://www.govinfo.gov/content/pkg/FR-2022-02-25/pdf/2022-04041.pdf,02/25/2022
Community Disaster Resilience Zones and the National Risk Index,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing this notice and request for information (RFI) to seek input from the public on implementation of the Community Disaster Resilience Zones Act of 2022, including updates to the methodology and data used for the National Risk Index and any other hazard assessment products; potential improvements to FEMA's provision of hazard data; the process used to designate community disaster resilience zones; financial and technical assistance for resilience or mitigation projects primarily benefitting community disaster resilience zones; and the community disaster resilience zone project application and certification process.",88 FR 34171, 2023-11268,https://www.federalregister.gov/documents/2023/05/26/2023-11268/community-disaster-resilience-zones-and-the-national-risk-index,https://www.govinfo.gov/content/pkg/FR-2023-05-26/pdf/2023-11268.pdf,05/26/2023
Community Disaster Resilience Zones and the National Risk Index,Notice,Homeland Security Department; Federal Emergency Management Agency,The Federal Emergency Management Agency (FEMA) is issuing this Notice to provide an update on responses to the Community Disaster Resilience Zones and the National Risk Index request for information and share FEMA's initial designations of census tracts as Community Disaster Resilience Zones.,89 FR 95801, 2024-28015,https://www.federalregister.gov/documents/2024/12/03/2024-28015/community-disaster-resilience-zones-and-the-national-risk-index,https://www.govinfo.gov/content/pkg/FR-2024-12-03/pdf/2024-28015.pdf,12/03/2024
"Agency Information Collection Activities: Submission for OMB Review; Comment Request; Mitigation Grant Programs (Including Mitigation (MT) Grants Management (Formerly Mitigation (MT) Electronic Grants (eGrants) and FEMA GO) for Flood Mitigation Assistance (FMA), Building Resilient Infrastructure and Communities (BRIC) and Pre-Disaster Mitigation (PDM)",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. This notice seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) grant programs specifically, the Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, and the Flood Mitigation Assistance (FMA) program. Under FEMA's HMA grant programs, State, local, Tribal, and Territorial governments (SLTTs) seek assistance to support disaster mitigation and provide opportunities to reduce or eliminate potential losses to SLTTs.",87 FR 38771, 2022-13803,https://www.federalregister.gov/documents/2022/06/29/2022-13803/agency-information-collection-activities-submission-for-omb-review-comment-request-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2022-06-29/pdf/2022-13803.pdf,06/29/2022
"Agency Information Collection Activities: Proposed Collection; Comment Request; Mitigation Grant Programs (including Mitigation (MT) Grants Management (formerly Mitigation (MT) Electronic Grants (eGrants) and FEMA GO) for Flood Mitigation Assistance (FMA), Building Resilient Infrastructure and Communities (BRIC) and Pre-Disaster Mitigation (PDM)",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) grant programs specifically, the legacy Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, and the Flood Mitigation Assistance (FMA) program. Under FEMA's HMA grant programs, States, local, Tribal, and Territorial governments (SLTTs) seek assistance to support disaster mitigation and provide opportunities to reduce or eliminate potential losses to SLTTs.",86 FR 71073, 2021-27030,https://www.federalregister.gov/documents/2021/12/14/2021-27030/agency-information-collection-activities-proposed-collection-comment-request-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2021-12-14/pdf/2021-27030.pdf,12/14/2021
Agency Information Collection Activities: Proposed Collection; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, efforts and resources used by respondents to respond) and cost, and actual data collection instruments FEMA will use regarding the State, local, and Tribal hazard mitigation plan development or update process.",90 FR 17945, 2025-07443,https://www.federalregister.gov/documents/2025/04/30/2025-07443/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2025-04-30/pdf/2025-07443.pdf,04/30/2025
Hazard Mitigation Grant Program Application Period Extension,Rule,Homeland Security Department; Federal Emergency Management Agency,The Federal Emergency Management Agency (FEMA) is revising its regulations to extend the Hazard Mitigation Grant Program's application period. This revision will allow FEMA to approve additional projects and offer applicants additional time for project approvals meant to address the effects of climate change and other unmet community mitigation needs.,89 FR 66241, 2024-17909,https://www.federalregister.gov/documents/2024/08/15/2024-17909/hazard-mitigation-grant-program-application-period-extension,https://www.govinfo.gov/content/pkg/FR-2024-08-15/pdf/2024-17909.pdf,08/15/2024
FEMA's Hazard Mitigation Assistance and Mitigation Planning Regulations,Rule,Homeland Security Department; Federal Emergency Management Agency,This final rule revises the Federal Emergency Management Agency's Hazard Mitigation Assistance and mitigation planning regulations to reflect current statutory authority and agency practice.,86 FR 50653, 2021-19186,https://www.federalregister.gov/documents/2021/09/10/2021-19186/femas-hazard-mitigation-assistance-and-mitigation-planning-regulations,https://www.govinfo.gov/content/pkg/FR-2021-09-10/pdf/2021-19186.pdf,09/10/2021
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget (OMB) for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA invites the general public to take this opportunity to comment on an extension of a currently approved information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, efforts and resources used by respondents to respond) and cost, and actual data collection instruments FEMA will use regarding the state, local, tribal and territorial hazard mitigation plan development or update process.",90 FR 40837, 2025-16017,https://www.federalregister.gov/documents/2025/08/21/2025-16017/agency-information-collection-activities-submission-for-omb-review-comment-request-statelocaltribal,https://www.govinfo.gov/content/pkg/FR-2025-08-21/pdf/2025-16017.pdf,08/21/2025
"Agency Information Collection Activities: Proposed Collection; Comment Request, 1660-0062; State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a proposed extension, without change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning State, Local and Tribal mitigation plan requirements to support administration of hazard mitigation assistance programs.",76 FR 13200, 2011-5416,https://www.federalregister.gov/documents/2011/03/10/2011-5416/agency-information-collection-activities-proposed-collection-comment-request-1660-0062,https://www.govinfo.gov/content/pkg/FR-2011-03-10/pdf/2011-5416.pdf,03/10/2011
"Agency Information Collection Activities: Proposed Collection; Comment Request, State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a proposed revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning State, Local and Tribal mitigation plan requirements. While there has been no change to the information being collected, this proposed adjustment is due to a change in methodology used to estimate burden.",77 FR 11142, 2012-4268,https://www.federalregister.gov/documents/2012/02/24/2012-4268/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2012-02-24/pdf/2012-4268.pdf,02/24/2012
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; Generic Clearance for FEMA's Major Disaster, Emergency Response, Emergency Recovery, and Hazard Mitigation Programs",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission seeks comments concerning a new generic information collection allowing FEMA to individually update instruments needed to provide financial, non- financial, program management, and technical assistance for FEMA's major disaster, emergency response, emergency recovery, and hazard mitigation activities.",89 FR 21529, 2024-06621,https://www.federalregister.gov/documents/2024/03/28/2024-06621/agency-information-collection-activities-submission-for-omb-review-comment-request-generic-clearance,https://www.govinfo.gov/content/pkg/FR-2024-03-28/pdf/2024-06621.pdf,03/28/2024
Agency Information Collection Activities: Proposed Collection; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, efforts and resources used by respondents to respond) and cost, and actual data collection instruments FEMA will use regarding the state, local, and tribal hazard mitigation plan creation process.",86 FR 51174, 2021-19750,https://www.federalregister.gov/documents/2021/09/14/2021-19750/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2021-09-14/pdf/2021-19750.pdf,09/14/2021
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; FEMA Mitigation Grant Programs",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) financial and technical assistance programs; specifically, the Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, BRIC Direct Technical Assistance (DTA), and the Flood Mitigation Assistance (FMA) program.",88 FR 10925, 2023-03609,https://www.federalregister.gov/documents/2023/02/22/2023-03609/agency-information-collection-activities-submission-for-omb-review-comment-request-fema-mitigation,https://www.govinfo.gov/content/pkg/FR-2023-02-22/pdf/2023-03609.pdf,02/22/2023
Agency Information Collection Activities: Proposed Collection; Comment Request; FEMA Mitigation Grant Programs,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on an extension, with change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning FEMA's Hazard Mitigation Assistance (HMA) financial and technical assistance programs; specifically, the Pre-Disaster Mitigation Program (PDM), the Building Resilient Infrastructure and Communities (BRIC) program, BRIC Direct Technical Assistance (DTA), and the Flood Mitigation Assistance (FMA) program.",87 FR 71657, 2022-25453,https://www.federalregister.gov/documents/2022/11/23/2022-25453/agency-information-collection-activities-proposed-collection-comment-request-fema-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2022-11-23/pdf/2022-25453.pdf,11/23/2022
Agency Information Collection Activities: Proposed Collection; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning information collection activities related to Hazard Mitigation Plans.",82 FR 12823, 2017-04434,https://www.federalregister.gov/documents/2017/03/07/2017-04434/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2017-03-07/pdf/2017-04434.pdf,03/07/2017
Agency Information Collection Activities: Proposed Collection; Comment Request; Hazard Mitigation Grant Program (HMGP) Application Reporting,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments regarding the requirements, grants management procedures, and implementation of grants awarded under the Hazard Mitigation Grant Program (HMGP), which is a post-disaster program that contributes funds toward the cost of hazard mitigation activities in order to reduce the risk of future damage, hardship, loss or suffering in any area affected by a major disaster.",87 FR 10813, 2022-04056,https://www.federalregister.gov/documents/2022/02/25/2022-04056/agency-information-collection-activities-proposed-collection-comment-request-hazard-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2022-02-25/pdf/2022-04056.pdf,02/25/2022
"Agency Information Collection Activities: Proposed Collection, Comment Request; Generic Clearance for Hazard Mitigation Assistance Programs",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a new information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning a new generic information collection allowing FEMA to individually update instruments needed to provide financial, non-financial, program management, and technical assistance for FEMA's major disaster, emergency response, emergency recovery, and hazard mitigation activities.",88 FR 85898, 2023-27121,https://www.federalregister.gov/documents/2023/12/11/2023-27121/agency-information-collection-activities-proposed-collection-comment-request-generic-clearance-for,https://www.govinfo.gov/content/pkg/FR-2023-12-11/pdf/2023-27121.pdf,12/11/2023
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; Hazard Mitigation Grant Program (HMGP) Application Reporting",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission seeks comments regarding the requirements, grants management procedures, and implementation of grants awarded under the Hazard Mitigation Grant Program (HMGP), which is a post-disaster program that contributes funds toward the cost of hazard mitigation activities to reduce the risk of future damage, hardship, loss or suffering in any area affected by a major disaster.",88 FR 10914, 2023-03610,https://www.federalregister.gov/documents/2023/02/22/2023-03610/agency-information-collection-activities-submission-for-omb-review-comment-request-hazard-mitigation,https://www.govinfo.gov/content/pkg/FR-2023-02-22/pdf/2023-03610.pdf,02/22/2023
Agency Information Collection Activities: Submission for OMB Review; Comment Request; Hazard Mitigation Grant Program (HMGP) Application Reporting,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension, with change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments regarding the requirements, grants management procedures, and implementation of grants awarded under the Hazard Mitigation Grant Program (HMGP), which is a post-disaster program that contributes funds toward the cost of hazard mitigation activities to reduce the risk of future damage, hardship, loss or suffering in any area affected by a major disaster.",87 FR 71659, 2022-25452,https://www.federalregister.gov/documents/2022/11/23/2022-25452/agency-information-collection-activities-submission-for-omb-review-comment-request-hazard-mitigation,https://www.govinfo.gov/content/pkg/FR-2022-11-23/pdf/2022-25452.pdf,11/23/2022
Solicitation for Comments Regarding Current Procedures To Request Emergency and Major Disaster Declarations,Notice,Homeland Security Department; Federal Emergency Management Agency,"On Tuesday, January 29, 2013, President Obama signed the Sandy Recovery Improvement Act of 2013, which includes a provision amending the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide federally recognized Indian tribal governments the option to make a request directly to the President for a Federal emergency or major disaster declaration, or to seek assistance, as they do presently, under a declaration for a State. In support of preliminary implementation of this provision, the Federal Emergency Management Agency (FEMA) is engaging in a comprehensive consultation effort with federally recognized Indian tribal governments. To initiate that consultation, FEMA is soliciting comments regarding FEMA procedures for declaration requests from Indian tribal governments.",78 FR 15026, 2013-05391,https://www.federalregister.gov/documents/2013/03/08/2013-05391/solicitation-for-comments-regarding-current-procedures-to-request-emergency-and-major-disaster,https://www.govinfo.gov/content/pkg/FR-2013-03-08/pdf/2013-05391.pdf,03/08/2013
Agency Information Collection Activities: Submission for OMB Review; Comment Request; Flood Mitigation Assistance (FMA); Building Resilient Infrastructure and Communities (BRIC); Pre-Disaster Mitigation (PDM),Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection described below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. While this information collection continues to include the Flood Mitigation Assistance (FMA) and Pre- Disaster Mitigation (PDM) programs, it introduces the Building Resilient Infrastructure and Communities (BRIC) program, and addresses the process for using a BRIC fiscal year (FY) 20 National Competition Panel Review Expression of Interest Form to solicit panel members to review competitive BRIC grant applications. After reviewing all the comments submitted, FEMA has decided to use the BRIC FY20 National Competition Panel Review Expression of Interest Form to solicit interest from potential panelists.",86 FR 1117, 2021-00027,https://www.federalregister.gov/documents/2021/01/07/2021-00027/agency-information-collection-activities-submission-for-omb-review-comment-request-flood-mitigation,https://www.govinfo.gov/content/pkg/FR-2021-01-07/pdf/2021-00027.pdf,01/07/2021
Agency Information Collection Activities: Proposed Collection; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",87 FR 10805, 2022-04055,https://www.federalregister.gov/documents/2022/02/25/2022-04055/agency-information-collection-activities-proposed-collection-comment-request-statelocaltribal-hazard,https://www.govinfo.gov/content/pkg/FR-2022-02-25/pdf/2022-04055.pdf,02/25/2022
Agency Information Collection Activities: Proposed Collection; Comment Request; Preparedness Activity Registration and Feedback,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning FEMA's Individual and Community Preparedness Division's (ICPD) efforts to enable individuals, organizations, or other groups to register with FEMA and to take part in FEMA's preparedness mission by connecting with individuals, organizations, and communities with research and tools to build and sustain capabilities to prepare for any disaster or emergency.",84 FR 60403, 2019-24372,https://www.federalregister.gov/documents/2019/11/08/2019-24372/agency-information-collection-activities-proposed-collection-comment-request-preparedness-activity,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24372.pdf,11/08/2019
"Request for Information on FEMA Programs, Regulations, and Policies",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is issuing this Request for Information (RFI) to receive input from the public on specific FEMA programs, regulations, collections of information, and policies for the agency to consider modifying, streamlining, expanding, or repealing in light of recent Executive orders. These efforts aim to help FEMA ensure that its programs, regulations, and policies contain necessary, properly tailored, and up-to-date requirements that effectively achieve FEMA's mission in a manner that furthers the goals of advancing equity for all, including those in underserved communities, bolstering resilience from the impacts of climate change, particularly for those disproportionately impacted by climate change, and environmental justice.",86 FR 21325, 2021-08444,https://www.federalregister.gov/documents/2021/04/22/2021-08444/request-for-information-on-fema-programs-regulations-and-policies,https://www.govinfo.gov/content/pkg/FR-2021-04-22/pdf/2021-08444.pdf,04/22/2021
"Adoption of Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards; States and Tribal Mitigation Planning Regulations Change",Rule,Homeland Security Department; Federal Emergency Management Agency,"On December 19, 2014, all Federal award-making agencies, including the Department of Homeland Security (DHS) and its component, the Federal Emergency Management Agency (FEMA), published a joint interim final rule implementing the Office of Management and Budget (OMB)'s Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards. DHS and FEMA now adopt, with one change, the interim final rule as final. The change restores language in the FEMA State and Tribal mitigation planning regulations that was inadvertently removed by the interim final rule.",80 FR 59549, 2015-24584,https://www.federalregister.gov/documents/2015/10/02/2015-24584/adoption-of-uniform-administrative-requirements-cost-principles-and-audit-requirements-for-federal,https://www.govinfo.gov/content/pkg/FR-2015-10-02/pdf/2015-24584.pdf,10/02/2015
Change in Submission Requirements for State Mitigation Plans,Rule,Homeland Security Department; Federal Emergency Management Agency,"This Final Rule revises the Federal Emergency Management Agency (FEMA) regulations by changing submission requirements for State Mitigation Plans. This Final Rule reduces the frequency by which States must submit updates to FEMA on their State Mitigation Plans. Previously, these entities prepared and submitted updates with FEMA for review and approval every 3 years. Now, these entities will prepare and submit updates with FEMA for review and approval every 5 years.",79 FR 22873, 2014-09461,https://www.federalregister.gov/documents/2014/04/25/2014-09461/change-in-submission-requirements-for-state-mitigation-plans,https://www.govinfo.gov/content/pkg/FR-2014-04-25/pdf/2014-09461.pdf,04/25/2014
Notices of Emergency and Major Disaster Declarations and Related Amendments,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act from October, 2024, to January, 2025.",90 FR 40470, 2025-15716,https://www.federalregister.gov/documents/2025/08/19/2025-15716/notices-of-emergency-and-major-disaster-declarations-and-related-amendments,https://www.govinfo.gov/content/pkg/FR-2025-08-19/pdf/2025-15716.pdf,08/19/2025
Agency Information Collection Activities: Proposed Collection; Comment Request; Hazard Mitigation Grant Program (HMGP) Application and Reporting,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on an extension, without change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the Hazard Mitigation Grant Program application and reporting requirements.",81 FR 74463, 2016-25896,https://www.federalregister.gov/documents/2016/10/26/2016-25896/agency-information-collection-activities-proposed-collection-comment-request-hazard-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2016-10-26/pdf/2016-25896.pdf,10/26/2016
"Agency Information Collection Activities: Proposed Collection; Comment Request, 1660-0076; Hazard Mitigation Grant Program Application and Reporting",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a proposed revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this Notice seeks comments concerning the Hazard Mitigation Grant Program application and reporting requirements.",75 FR 3912, 2010-1318,https://www.federalregister.gov/documents/2010/01/25/2010-1318/agency-information-collection-activities-proposed-collection-comment-request-1660-0076-hazard,https://www.govinfo.gov/content/pkg/FR-2010-01-25/pdf/2010-1318.pdf,01/25/2010
"Agency Information Collection Activities: Proposed Collection, Comment Request; Administrative Plan for the Hazard Mitigation Grant Program",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension of a currently approved information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning the State Administrative Plan for the procedural guide that details how the State will administer the Hazard Mitigation Grant Program (HMGP).",89 FR 67101, 2024-18448,https://www.federalregister.gov/documents/2024/08/19/2024-18448/agency-information-collection-activities-proposed-collection-comment-request-administrative-plan-for,https://www.govinfo.gov/content/pkg/FR-2024-08-19/pdf/2024-18448.pdf,08/19/2024
"Criteria for Preparation and Evaluation of Radiological Emergency Response Plans and Preparedness in Support of Nuclear Power Plants (NUREG-0654/FEMA-REP-1, Rev. 2)",Rule,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), concurrently with the Nuclear Regulatory Commission (NRC), is issuing final guidance entitled ""Criteria for Preparation and Evaluation of Radiological Emergency Response Plans and Preparedness in Support of Nuclear Power Plants"" (NUREG-0654/FEMA-REP-1, Rev. 2). This final guidance document focuses on preparedness for radiological incidents at commercial nuclear power plants that could impact public health and safety.",84 FR 70435, 2019-27384,https://www.federalregister.gov/documents/2019/12/23/2019-27384/criteria-for-preparation-and-evaluation-of-radiological-emergency-response-plans-and-preparedness-in,https://www.govinfo.gov/content/pkg/FR-2019-12-23/pdf/2019-27384.pdf,12/23/2019
Agency Information Collection Activities: Proposed Collection; Comment Request; State Administrative Plan for the Hazard Mitigation Grant Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on an extension, without change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the State Administrative Plan for the procedural guide that details how the State will administer the Hazard Mitigation Grant Program (HMGP).",85 FR 71351, 2020-24845,https://www.federalregister.gov/documents/2020/11/09/2020-24845/agency-information-collection-activities-proposed-collection-comment-request-state-administrative,https://www.govinfo.gov/content/pkg/FR-2020-11-09/pdf/2020-24845.pdf,11/09/2020
Agency Information Collection Activities: Proposed Collection; Comment Request; State Administrative Plan for the Hazard Mitigation Grant Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on an extension, without change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the State Administrative Plan for the procedural guide that details how the State will administer the Hazard Mitigation Grant Program.",81 FR 85995, 2016-28612,https://www.federalregister.gov/documents/2016/11/29/2016-28612/agency-information-collection-activities-proposed-collection-comment-request-state-administrative,https://www.govinfo.gov/content/pkg/FR-2016-11-29/pdf/2016-28612.pdf,11/29/2016
"Agency Information Collection Activities: Submission for OMB Review; Comment Request, OMB No. 1660-0062; State/Local/Tribal Hazard Mitigation Plans",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",76 FR 33327, 2011-14070,https://www.federalregister.gov/documents/2011/06/08/2011-14070/agency-information-collection-activities-submission-for-omb-review-comment-request-omb-no-1660-0062,https://www.govinfo.gov/content/pkg/FR-2011-06-08/pdf/2011-14070.pdf,06/08/2011
"Agency Information Collection Activities: Submission for OMB Review, Comment Request; Administrative Plan for the Hazard Mitigation Grant Program",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. FEMA invites the general public to take this opportunity to comment on an extension of a currently approved information collection. In accordance with the requirements of the Paperwork Reduction Act of 1995, this notice seeks comments concerning the State Administrative Plan for the procedural guide that details how the State will administer the Hazard Mitigation Grant Program (HMGP).",89 FR 99890, 2024-29011,https://www.federalregister.gov/documents/2024/12/11/2024-29011/agency-information-collection-activities-submission-for-omb-review-comment-request-administrative,https://www.govinfo.gov/content/pkg/FR-2024-12-11/pdf/2024-29011.pdf,12/11/2024
